DBN,School Name,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty
01M063,P.S. 063 The Star Academy,2011-12,176,18,20,30,21,31,26,30,0,0,0,0,0,0,0,79,44.9%,97,55.1%,9,5.1%,41,23.3%,110,62.5%,1,0.6%,15,8.5%,50,28.4%,6,3.4%,155,88.1%
01M063,The STAR Academy - P.S.63,2012-13,174,18,37,18,28,21,27,25,0,0,0,0,0,0,0,83,47.7%,91,52.3%,12,6.9%,42,24.1%,102,58.6%,1,0.6%,17,9.8%,49,28.2%,7,4.0%,145,83.3%
01M063,The STAR Academy - P.S.63,2013-14,179,18,40,33,26,23,20,19,0,0,0,0,0,0,0,93,52.0%,86,48.0%,13,7.3%,45,25.1%,101,56.4%,3,1.7%,17,9.5%,59,33.0%,8,4.5%,145,81.0%
01M063,The STAR Academy - P.S.63,2014-15,199,25,35,34,38,25,21,21,0,0,0,0,0,0,0,98,49.2%,101,50.8%,14,7.0%,41,20.6%,124,62.3%,0,0.0%,20,10.1%,63,31.7%,7,3.5%,165,82.9%
01M064,P.S. 064 Robert Simon,2010-11,322,32,53,47,45,40,52,53,0,0,0,0,0,0,0,143,44.4%,179,55.6%,22,6.8%,79,24.5%,200,62.1%,7,2.2%,14,4.3%,102,31.7%,21,6.5%,272,84.5%
01M064,P.S. 064 Robert Simon,2011-12,324,27,54,50,42,49,48,54,0,0,0,0,0,0,0,140,43.2%,184,56.8%,26,8.0%,76,23.5%,193,59.6%,5,1.5%,24,7.4%,110,34.0%,29,9.0%,282,87.0%
01M064,P.S. 064 Robert Simon,2012-13,314,34,34,55,55,39,50,47,0,0,0,0,0,0,0,134,42.7%,180,57.3%,22,7.0%,70,22.3%,195,62.1%,4,1.3%,23,7.3%,124,39.5%,27,8.6%,267,85.0%
01M064,P.S. 064 Robert Simon,2013-14,287,33,39,40,46,48,38,43,0,0,0,0,0,0,0,124,43.2%,163,56.8%,17,5.9%,65,22.6%,173,60.3%,5,1.7%,27,9.4%,99,34.5%,19,6.6%,259,90.2%
01M064,P.S. 064 Robert Simon,2014-15,282,33,35,39,44,43,46,42,0,0,0,0,0,0,0,120,42.6%,162,57.4%,20,7.1%,51,18.1%,185,65.6%,5,1.8%,21,7.4%,91,32.3%,19,6.7%,263,93.3%
01M110,P.S. 110 Florence Nightingale,2010-11,435,35,72,64,60,71,77,56,0,0,0,0,0,0,0,214,49.2%,221,50.8%,57,13.1%,65,14.9%,198,45.5%,7,1.6%,108,24.8%,79,18.2%,26,6.0%,266,61.1%
01M110,P.S. 110 Florence Nightingale,2011-12,440,34,67,75,65,53,71,75,0,0,0,0,0,0,0,221,50.2%,219,49.8%,55,12.5%,58,13.2%,194,44.1%,9,2.0%,124,28.2%,71,16.1%,31,7.0%,242,55.0%
01M110,P.S. 110 Florence Nightingale,2012-13,412,36,74,61,71,56,48,66,0,0,0,0,0,0,0,219,53.2%,193,46.8%,48,11.7%,46,11.2%,182,44.2%,17,4.1%,119,28.9%,61,14.8%,22,5.3%,221,53.6%
01M110,P.S. 110 Florence Nightingale,2013-14,416,36,63,85,56,74,56,46,0,0,0,0,0,0,0,201,48.3%,215,51.7%,57,13.7%,40,9.6%,183,44.0%,20,4.8%,116,27.9%,70,16.8%,20,4.8%,221,53.1%
01M110,P.S. 110 Florence Nightingale,2014-15,419,35,54,68,80,54,72,56,0,0,0,0,0,0,0,203,48.4%,216,51.6%,54,12.9%,41,9.8%,186,44.4%,16,3.8%,122,29.1%,67,16.0%,9,2.1%,216,51.6%
01M134,P.S. 134 Henrietta Szold,2010-11,371,37,61,55,56,54,41,67,0,0,0,0,0,0,0,196,52.8%,175,47.2%,94,25.3%,73,19.7%,200,53.9%,1,0.3%,3,0.8%,60,16.2%,48,12.9%,337,90.8%
01M134,P.S. 134 Henrietta Szold,2011-12,369,36,67,57,55,60,51,43,0,0,0,0,0,0,0,192,52.0%,177,48.0%,104,28.2%,74,20.1%,181,49.1%,2,0.5%,8,2.2%,72,19.5%,61,16.5%,319,86.4%
01M134,P.S. 134 Henrietta Szold,2012-13,352,28,51,60,52,53,64,44,0,0,0,0,0,0,0,178,50.6%,174,49.4%,99,28.1%,64,18.2%,178,50.6%,1,0.3%,10,2.8%,74,21.0%,61,17.3%,305,86.6%
01M134,P.S. 134 Henrietta Szold,2013-14,318,33,41,38,53,46,49,58,0,0,0,0,0,0,0,152,47.8%,166,52.2%,84,26.4%,63,19.8%,162,50.9%,0,0.0%,9,2.8%,89,28.0%,47,14.8%,294,92.5%
01M134,P.S. 134 Henrietta Szold,2014-15,255,15,28,41,38,49,41,43,0,0,0,0,0,0,0,118,46.3%,137,53.7%,65,25.5%,49,19.2%,133,52.2%,0,0.0%,8,3.1%,77,30.2%,32,12.5%,238,93.3%
01M137,P.S. 137 John L. Bernstein,2010-11,232,18,46,41,29,42,33,23,0,0,0,0,0,0,0,115,49.6%,117,50.4%,40,17.2%,62,26.7%,126,54.3%,0,0.0%,4,1.7%,52,22.4%,39,16.8%,215,92.7%
01M137,P.S. 137 John L. Bernstein,2011-12,230,18,43,43,39,27,33,27,0,0,0,0,0,0,0,119,51.7%,111,48.3%,42,18.3%,57,24.8%,123,53.5%,1,0.4%,7,3.0%,68,29.6%,34,14.8%,216,93.9%
01M137,P.S. 137 John L. Bernstein,2012-13,178,11,19,26,38,32,27,25,0,0,0,0,0,0,0,91,51.1%,87,48.9%,25,14.0%,49,27.5%,98,55.1%,0,0.0%,6,3.4%,65,36.5%,24,13.5%,170,95.5%
01M137,P.S. 137 John L. Bernstein,2013-14,202,18,24,28,30,43,33,26,0,0,0,0,0,0,0,94,46.5%,108,53.5%,30,14.9%,53,26.2%,111,55.0%,1,0.5%,7,3.5%,73,36.1%,26,12.9%,192,95.0%
01M137,P.S. 137 John L. Bernstein,2014-15,186,18,23,22,21,32,41,29,0,0,0,0,0,0,0,87,46.8%,99,53.2%,26,14.0%,45,24.2%,108,58.1%,1,0.5%,6,3.2%,61,32.8%,22,11.8%,178,95.7%
01M140,P.S. 140 Nathan Straus,2010-11,397,12,35,40,34,24,27,37,71,54,63,0,0,0,0,194,48.9%,203,51.1%,14,3.5%,56,14.1%,318,80.1%,2,0.5%,7,1.8%,91,22.9%,61,15.4%,397,100.0%
01M140,P.S. 140 Nathan Straus,2011-12,407,16,37,35,39,28,27,31,69,67,58,0,0,0,0,191,46.9%,216,53.1%,17,4.2%,66,16.2%,317,77.9%,0,0.0%,7,1.7%,110,27.0%,60,14.7%,407,100.0%
01M140,P.S. 140 Nathan Straus,2012-13,410,18,32,32,41,34,25,28,66,74,60,0,0,0,0,193,47.1%,217,52.9%,23,5.6%,61,14.9%,317,77.3%,1,0.2%,8,2.0%,119,29.0%,63,15.4%,410,100.0%
01M140,P.S. 140 Nathan Straus,2013-14,393,12,30,31,31,34,34,28,61,63,69,0,0,0,0,194,49.4%,199,50.6%,22,5.6%,50,12.7%,310,78.9%,1,0.3%,10,2.5%,137,34.9%,55,14.0%,393,100.0%
01M140,P.S. 140 Nathan Straus,2014-15,380,18,26,29,27,35,32,34,53,65,61,0,0,0,0,198,52.1%,182,47.9%,21,5.5%,40,10.5%,302,79.5%,2,0.5%,15,3.9%,123,32.4%,66,17.4%,380,100.0%
01M142,P.S. 142 Amalia Castro,2010-11,430,30,66,76,56,61,69,72,0,0,0,0,0,0,0,223,51.9%,207,48.1%,27,6.3%,58,13.5%,324,75.3%,7,1.6%,14,3.3%,110,25.6%,51,11.9%,420,97.7%
01M142,P.S. 142 Amalia Castro,2011-12,433,33,74,63,74,58,67,64,0,0,0,0,0,0,0,225,52.0%,208,48.0%,34,7.9%,58,13.4%,321,74.1%,8,1.8%,12,2.8%,113,26.1%,53,12.2%,430,99.3%
01M142,P.S. 142 Amalia Castro,2012-13,416,35,63,66,61,67,63,61,0,0,0,0,0,0,0,197,47.4%,219,52.6%,31,7.5%,59,14.2%,309,74.3%,8,1.9%,9,2.2%,119,28.6%,41,9.9%,409,98.3%
01M142,P.S. 142 Amalia Castro,2013-14,384,31,69,48,61,53,63,59,0,0,0,0,0,0,0,174,45.3%,210,54.7%,24,6.3%,53,13.8%,285,74.2%,15,3.9%,7,1.8%,119,31.0%,32,8.3%,375,97.7%
01M142,P.S. 142 Amalia Castro,2014-15,386,33,65,58,45,65,56,64,0,0,0,0,0,0,0,179,46.4%,207,53.6%,21,5.4%,55,14.2%,294,76.2%,10,2.6%,6,1.6%,109,28.2%,40,10.4%,371,96.1%
01M184,P.S. 184m Shuang Wen,2010-11,685,40,101,97,75,66,73,68,58,53,54,0,0,0,0,340,49.6%,345,50.4%,552,80.6%,29,4.2%,37,5.4%,4,0.6%,63,9.2%,57,8.3%,71,10.4%,503,73.4%
01M184,P.S. 184m Shuang Wen,2011-12,690,36,75,98,97,76,65,68,64,54,57,0,0,0,0,346,50.1%,344,49.9%,559,81.0%,29,4.2%,40,5.8%,4,0.6%,58,8.4%,58,8.4%,77,11.2%,493,71.4%
01M184,P.S. 184m Shuang Wen,2012-13,689,36,89,85,86,83,72,59,60,61,58,0,0,0,0,348,50.5%,341,49.5%,547,79.4%,26,3.8%,48,7.0%,7,1.0%,61,8.9%,62,9.0%,89,12.9%,477,69.2%
01M184,P.S. 184m Shuang Wen,2013-14,668,36,88,78,75,79,83,67,40,61,61,0,0,0,0,336,50.3%,332,49.7%,523,78.3%,20,3.0%,54,8.1%,16,2.4%,55,8.2%,76,11.4%,91,13.6%,474,71.0%
01M184,P.S. 184m Shuang Wen,2014-15,665,36,76,79,76,73,75,79,69,42,60,0,0,0,0,338,50.8%,327,49.2%,499,75.0%,21,3.2%,58,8.7%,29,4.4%,58,8.7%,82,12.3%,117,17.6%,459,69.0%
01M188,P.S. 188 The Island School,2010-11,401,32,29,30,34,34,31,48,51,61,51,0,0,0,0,190,47.4%,211,52.6%,5,1.2%,121,30.2%,257,64.1%,1,0.2%,17,4.2%,91,22.7%,56,14.0%,401,100.0%
01M188,P.S. 188 The Island School,2011-12,388,20,35,29,42,32,26,35,65,54,50,0,0,0,0,177,45.6%,211,54.4%,10,2.6%,104,26.8%,255,65.7%,0,0.0%,19,4.9%,81,20.9%,65,16.8%,388,100.0%
01M188,P.S. 188 The Island School,2012-13,470,34,39,43,40,48,46,34,61,63,62,0,0,0,0,212,45.1%,258,54.9%,11,2.3%,124,26.4%,314,66.8%,1,0.2%,20,4.3%,100,21.3%,76,16.2%,470,100.0%
01M188,P.S. 188 The Island School,2013-14,501,32,48,41,47,49,51,45,49,73,66,0,0,0,0,232,46.3%,269,53.7%,12,2.4%,140,27.9%,327,65.3%,1,0.2%,21,4.2%,141,28.1%,76,15.2%,501,100.0%
01M188,P.S. 188 The Island School,2014-15,482,33,38,47,46,41,53,51,51,54,68,0,0,0,0,229,47.5%,253,52.5%,9,1.9%,151,31.3%,297,61.6%,1,0.2%,24,5.0%,128,26.6%,70,14.5%,482,100.0%
01M292,Henry Street School for International Studies,2010-11,448,0,0,0,0,0,0,0,25,37,58,107,85,67,69,181,40.4%,267,59.6%,56,12.5%,126,28.1%,255,56.9%,2,0.4%,9,2.0%,105,23.4%,97,21.7%,409,91.3%
01M292,Henry Street School for International Studies,2011-12,422,0,0,0,0,0,0,0,32,33,50,98,79,80,50,163,38.6%,259,61.4%,59,14.0%,123,29.1%,227,53.8%,6,1.4%,7,1.7%,106,25.1%,95,22.5%,338,80.1%
01M292,Henry Street School for International Studies,2012-13,388,0,0,0,0,0,0,0,19,32,35,82,80,75,65,149,38.4%,239,61.6%,49,12.6%,107,27.6%,213,54.9%,11,2.8%,8,2.1%,113,29.1%,82,21.1%,331,85.3%
01M292,Henry Street School for International Studies,2013-14,323,0,0,0,0,0,0,0,13,19,33,59,68,68,63,129,39.9%,194,60.1%,44,13.6%,84,26.0%,172,53.3%,13,4.0%,10,3.1%,107,33.1%,64,19.8%,271,83.9%
01M292,Henry Street School for International Studies,2014-15,255,0,0,0,0,0,0,0,17,14,19,59,52,36,58,96,37.6%,159,62.4%,32,12.5%,66,25.9%,142,55.7%,6,2.4%,9,3.5%,82,32.2%,31,12.2%,221,86.7%
01M301,"Technology, Arts, and Sciences Studio",2010-11,186,0,0,0,0,0,0,0,50,45,91,0,0,0,0,84,45.2%,102,54.8%,17,9.1%,46,24.7%,109,58.6%,3,1.6%,11,5.9%,67,36.0%,20,10.8%,186,100.0%
01M301,"Technology, Arts, and Sciences Studio",2011-12,170,0,0,0,0,0,0,0,65,55,50,0,0,0,0,77,45.3%,93,54.7%,17,10.0%,41,24.1%,99,58.2%,2,1.2%,11,6.5%,56,32.9%,13,7.6%,170,100.0%
01M301,"Technology, Arts, and Sciences Studio",2012-13,165,0,0,0,0,0,0,0,55,63,47,0,0,0,0,65,39.4%,100,60.6%,12,7.3%,42,25.5%,100,60.6%,4,2.4%,7,4.2%,63,38.2%,9,5.5%,143,86.7%
01M301,"Technology, Arts, and Sciences Studio",2013-14,158,0,0,0,0,0,0,0,46,51,61,0,0,0,0,63,39.9%,95,60.1%,16,10.1%,39,24.7%,94,59.5%,4,2.5%,5,3.2%,57,36.1%,9,5.7%,144,91.1%
01M301,"Technology, Arts, and Sciences Studio",2014-15,149,0,0,0,0,0,0,0,50,45,54,0,0,0,0,67,45.0%,82,55.0%,12,8.1%,40,26.8%,87,58.4%,5,3.4%,5,3.4%,59,39.6%,9,6.0%,127,85.2%
01M315,The East Village Community School,2010-11,212,36,40,49,25,28,22,12,0,0,0,0,0,0,0,87,41.0%,125,59.0%,18,8.5%,28,13.2%,67,31.6%,20,9.4%,79,37.3%,54,25.5%,7,3.3%,83,39.2%
01M315,The East Village Community School,2011-12,244,34,44,41,51,24,28,22,0,0,0,0,0,0,0,100,41.0%,144,59.0%,26,10.7%,30,12.3%,69,28.3%,18,7.4%,101,41.4%,61,25.0%,7,2.9%,88,36.1%
01M315,The East Village Community School,2012-13,263,36,44,41,41,51,21,29,0,0,0,0,0,0,0,115,43.7%,148,56.3%,25,9.5%,26,9.9%,69,26.2%,19,7.2%,124,47.1%,75,28.5%,7,2.7%,84,31.9%
01M315,The East Village Community School,2013-14,276,36,45,47,41,38,46,23,0,0,0,0,0,0,0,119,43.1%,157,56.9%,22,8.0%,33,12.0%,67,24.3%,18,6.5%,136,49.3%,79,28.6%,2,0.7%,89,32.2%
01M315,The East Village Community School,2014-15,289,36,45,48,45,44,28,43,0,0,0,0,0,0,0,131,45.3%,158,54.7%,29,10.0%,32,11.1%,64,22.1%,17,5.9%,147,50.9%,71,24.6%,4,1.4%,82,28.4%
01M332,University Neighborhood Middle School,2010-11,116,0,0,0,0,0,0,0,31,34,51,0,0,0,0,52,44.8%,64,55.2%,2,1.7%,30,25.9%,83,71.6%,0,0.0%,1,0.9%,41,35.3%,22,19.0%,107,92.2%
01M332,University Neighborhood Middle School,2011-12,115,0,0,0,0,0,0,0,42,31,42,0,0,0,0,43,37.4%,72,62.6%,2,1.7%,26,22.6%,86,74.8%,1,0.9%,0,0.0%,38,33.0%,22,19.1%,102,88.7%
01M332,University Neighborhood Middle School,2012-13,117,0,0,0,0,0,0,0,35,48,34,0,0,0,0,53,45.3%,64,54.7%,4,3.4%,25,21.4%,86,73.5%,2,1.7%,0,0.0%,33,28.2%,22,18.8%,109,93.2%
01M332,University Neighborhood Middle School,2013-14,100,0,0,0,0,0,0,0,22,33,45,0,0,0,0,46,46.0%,54,54.0%,5,5.0%,17,17.0%,75,75.0%,3,3.0%,0,0.0%,28,28.0%,24,24.0%,94,94.0%
01M332,University Neighborhood Middle School,2014-15,86,0,0,0,0,0,0,0,31,24,31,0,0,0,0,40,46.5%,46,53.5%,4,4.7%,18,20.9%,57,66.3%,3,3.5%,4,4.7%,34,39.5%,12,14.0%,75,87.2%
01M345,"Collaborative Academy of Science, Technology, & La",2010-11,262,0,0,0,0,0,0,0,88,77,97,0,0,0,0,119,45.4%,143,54.6%,40,15.3%,48,18.3%,165,63.0%,1,0.4%,8,3.1%,75,28.6%,17,6.5%,231,88.2%
01M345,"Collaborative Academy of Science, Technology, & La",2011-12,245,0,0,0,0,0,0,0,83,84,78,0,0,0,0,108,44.1%,137,55.9%,32,13.1%,56,22.9%,151,61.6%,0,0.0%,6,2.4%,63,25.7%,14,5.7%,219,89.4%
01M345,"Collaborative Academy of Science, Technology, & La",2012-13,233,0,0,0,0,0,0,0,70,78,85,0,0,0,0,114,48.9%,119,51.1%,31,13.3%,57,24.5%,135,57.9%,4,1.7%,6,2.6%,66,28.3%,22,9.4%,209,89.7%
01M345,"Collaborative Academy of Science, Technology, & La",2013-14,166,0,0,0,0,0,0,0,26,69,71,0,0,0,0,83,50.0%,83,50.0%,20,12.0%,50,30.1%,84,50.6%,4,2.4%,8,4.8%,55,33.1%,11,6.6%,149,89.8%
01M345,"Collaborative Academy of Science, Technology, & La",2014-15,132,0,0,0,0,0,0,0,35,29,68,0,0,0,0,66,50.0%,66,50.0%,21,15.9%,37,28.0%,66,50.0%,5,3.8%,3,2.3%,50,37.9%,8,6.1%,121,91.7%
01M361,The Children's Workshop School,2010-11,252,34,41,43,46,23,27,38,0,0,0,0,0,0,0,133,52.8%,119,47.2%,36,14.3%,31,12.3%,77,30.6%,2,0.8%,106,42.1%,48,19.0%,20,7.9%,109,43.3%
01M361,The Children's Workshop School,2011-12,247,34,31,44,41,49,23,25,0,0,0,0,0,0,0,146,59.1%,101,40.9%,38,15.4%,32,13.0%,74,30.0%,3,1.2%,100,40.5%,43,17.4%,19,7.7%,120,48.6%
01M361,The Children's Workshop School,2012-13,258,36,30,40,38,40,50,24,0,0,0,0,0,0,0,147,57.0%,111,43.0%,39,15.1%,42,16.3%,79,30.6%,4,1.6%,94,36.4%,58,22.5%,15,5.8%,129,50.0%
01M361,The Children's Workshop School,2013-14,258,36,40,33,29,38,36,46,0,0,0,0,0,0,0,136,52.7%,122,47.3%,37,14.3%,31,12.0%,84,32.6%,4,1.6%,102,39.5%,66,25.6%,11,4.3%,124,48.1%
01M361,The Children's Workshop School,2014-15,255,34,44,40,34,27,41,35,0,0,0,0,0,0,0,130,51.0%,125,49.0%,29,11.4%,29,11.4%,92,36.1%,4,1.6%,101,39.6%,57,22.4%,13,5.1%,117,45.9%
01M363,Neighborhood School,2010-11,321,19,48,56,56,40,49,53,0,0,0,0,0,0,0,151,47.0%,170,53.0%,45,14.0%,53,16.5%,90,28.0%,6,1.9%,127,39.6%,74,23.1%,7,2.2%,119,37.1%
01M363,Neighborhood School,2011-12,315,19,43,54,59,56,41,43,0,0,0,0,0,0,0,160,50.8%,155,49.2%,41,13.0%,53,16.8%,90,28.6%,3,1.0%,128,40.6%,82,26.0%,9,2.9%,131,41.6%
01M363,Neighborhood School,2012-13,304,18,42,44,58,59,51,32,0,0,0,0,0,0,0,155,51.0%,149,49.0%,34,11.2%,41,13.5%,90,29.6%,7,2.3%,132,43.4%,89,29.3%,12,3.9%,143,47.0%
01M363,Neighborhood School,2013-14,300,18,38,44,39,51,57,53,0,0,0,0,0,0,0,142,47.3%,158,52.7%,29,9.7%,43,14.3%,92,30.7%,6,2.0%,130,43.3%,84,28.0%,10,3.3%,134,44.7%
01M363,Neighborhood School,2014-15,302,16,63,39,42,37,53,52,0,0,0,0,0,0,0,144,47.7%,158,52.3%,22,7.3%,45,14.9%,87,28.8%,4,1.3%,144,47.7%,77,25.5%,14,4.6%,115,38.1%
01M364,Earth School,2010-11,338,18,61,48,52,51,58,50,0,0,0,0,0,0,0,163,48.2%,175,51.8%,47,13.9%,39,11.5%,116,34.3%,10,3.0%,126,37.3%,63,18.6%,15,4.4%,338,100.0%
01M364,Earth School,2011-12,336,18,55,53,47,54,53,56,0,0,0,0,0,0,0,162,48.2%,174,51.8%,20,6.0%,32,9.5%,118,35.1%,41,12.2%,125,37.2%,64,19.0%,13,3.9%,336,100.0%
01M364,Earth School,2012-13,322,18,53,45,53,50,52,51,0,0,0,0,0,0,0,154,47.8%,168,52.2%,32,9.9%,32,9.9%,111,34.5%,24,7.5%,123,38.2%,54,16.8%,12,3.7%,148,46.0%
01M364,Earth School,2013-14,318,18,54,50,46,51,50,49,0,0,0,0,0,0,0,157,49.4%,161,50.6%,32,10.1%,36,11.3%,101,31.8%,26,8.2%,123,38.7%,62,19.5%,12,3.8%,132,41.5%
01M364,Earth School,2014-15,321,18,56,51,48,44,55,49,0,0,0,0,0,0,0,160,49.8%,161,50.2%,24,7.5%,45,14.0%,109,34.0%,21,6.5%,122,38.0%,64,19.9%,15,4.7%,136,42.4%
01M378,School for Global Leaders,2010-11,266,0,0,0,0,0,0,0,109,79,78,0,0,0,0,143,53.8%,123,46.2%,25,9.4%,56,21.1%,171,64.3%,2,0.8%,12,4.5%,70,26.3%,35,13.2%,266,100.0%
01M378,School for Global Leaders,2011-12,271,0,0,0,0,0,0,0,93,101,77,0,0,0,0,135,49.8%,136,50.2%,21,7.7%,49,18.1%,188,69.4%,3,1.1%,10,3.7%,71,26.2%,31,11.4%,271,100.0%
01M378,School for Global Leaders,2012-13,250,0,0,0,0,0,0,0,70,85,95,0,0,0,0,113,45.2%,137,54.8%,25,10.0%,59,23.6%,155,62.0%,4,1.6%,7,2.8%,73,29.2%,34,13.6%,250,100.0%
01M378,School for Global Leaders,2013-14,244,0,0,0,0,0,0,0,79,72,93,0,0,0,0,112,45.9%,132,54.1%,32,13.1%,51,20.9%,152,62.3%,5,2.0%,4,1.6%,68,27.9%,39,16.0%,244,100.0%
01M378,School for Global Leaders,2014-15,235,0,0,0,0,0,0,0,81,76,78,0,0,0,0,105,44.7%,130,55.3%,38,16.2%,54,23.0%,132,56.2%,5,2.1%,6,2.6%,78,33.2%,33,14.0%,235,100.0%
